閻	阎
顏	颜
顔	颜
兗	兖
儼	俨
厴	厣
縯	演
魘	魇
鼴	鼹
厭	厌
彥	彦
硯	砚
艷	艳
豔	艳
驗	验
諺	谚
灧	滟
灩	滟
釅	酽
讞	谳
饜	餍
讌	燕
贋	赝
贗	赝
鴦	鸯
揚	扬
颺	扬
陽	阳
楊	杨
煬	炀
瘍	疡
養	养
癢	痒
樣	样
堯	尧
餚	肴
軺	轺
窯	窑
謠	谣
搖	摇
遙	遥
瑤	瑶
鰩	鳐
葯	药
藥	药
鷂	鹞
燿	耀
爺	爷
鋣	铘
業	业
葉	叶
頁	页
鄴	邺
曄	晔
燁	烨
謁	谒
靨	靥
醫	医
銥	铱
儀	仪
詒	诒
飴	饴
貽	贻
遺	遗
頤	颐
彞	彝
釔	钇
艤	舣
蟻	蚁
義	义
億	亿
憶	忆
藝	艺
議	议
異	异
囈	呓
譯	译
嶧	峄
懌	怿
繹	绎
詣	诣
驛	驿
軼	轶
誼	谊
縊	缢
瘞	瘗
鎰	镒
鐿	镱
陰	阴
蔭	荫
銦	铟
銀	银
齦	龈
飲	饮
隱	隐
癮	瘾
應	应
鶯	莺
嬰	婴
嚶	嘤
攖	撄
纓	缨
罌	罂
櫻	樱
瓔	璎
鸚	鹦
鷹	鹰
塋	茔
滎	荥
熒	荧
瑩	莹
螢	萤
營	营
縈	萦
瀅	滢
鎣	蓥
瀠	潆
蠅	蝇
贏	赢
潁	颍
穎	颖
癭	瘿
喲	哟
傭	佣
擁	拥
癰	痈
鄘	墉
鏞	镛
鱅	鳙
詠	咏
踴	踊
優	优
憂	忧
猶	犹
郵	邮
蓧	莜
蕕	莸
鈾	铀
遊	游
魷	鱿
銪	铕
誘	诱
紆	纡
餘	余
歟	欤
魚	鱼
娛	娱
諛	谀
漁	渔
崳	嵛
覦	觎
輿	舆
與	与
傴	伛
嶼	屿
俁	俣
語	语
齬	龉
馭	驭
訏	吁
嫗	妪
飫	饫
鬱	郁
獄	狱
鈺	钰
預	预
諭	谕
閾	阈
禦	御
鵒	鹆
蕷	蓣
譽	誉
鷸	鹬
鳶	鸢
鴛	鸳
淵	渊
員	员
園	园
圓	圆
緣	缘
黿	鼋
轅	辕
櫞	橼
遠	远
願	愿
約	约
鑰	钥
鈅	钥
籥	钥
悅	悦
鉞	钺
閱	阅
閲	阅
躍	跃
粵	粤
雲	云
勻	匀
紜	纭
蕓	芸
鄖	郧
氳	氲
隕	陨
殞	殒
運	运
鄆	郓
惲	恽
暈	晕
醖	酝
醞	酝
慍	愠
韞	韫
韻	韵
蘊	蕴
雜	杂
災	灾
載	载
欑	攒
儹	攒
攢	攒
趲	趱
暫	暂
贊	赞
